"Channels","planMonths","beta_20130101","beta_20130201","beta_20130301","beta_20130401","beta_20130501","beta_20130601","beta_20130701","beta_20130801","beta_20130901","beta_20131001","beta_20131101","beta_20131201","beta_20140101","beta_20140201","beta_20140301","beta_20140401","beta_20140501","beta_20140601","beta_20140701","beta_20140801","beta_20140901"
"SEM_LTA",1,0.503354786623826,0.295045606362322,0.151221544132944,0.151221121071939,0.0501712035434467,0.151220986247916,0.102199420698331,0.102198834566778,0.10219854801885,0.102198338576214,0.102198004162928,0.102198377173365,0.102199347450109,0.102198571350502,0.102198734537034,0.102199100023897,0.102199121390837,0.102199049021432,0.102199480675515,0.122113026674993,0.122112678616031
"Display_LTA",1,0.467920489191151,0.467920484240829,0.467920784892245,0.467919005586705,0.467920681060429,0.467919915990368,0.467919973736116,0.4679206152846,0.335053757406491,0.467920338873487,0.509225889162991,0.509226045843275,0.509225474847521,0.467920818592128,0.467920501694932,0.467917996562089,0.364966818480351,0.467919800519627,0.429195496545864,0.364964703952015,0.364967540885814
"FB_LTA",1,0.031748882684525,0.98065522536555,0.980654943640179,0.98065420350259,0.980651262564047,0.980654922714062,0.980654902264695,0.980653675293654,0.980654546110363,0.870427160464436,0.87042706246696,0.87042751150272,0.870427293873757,0.870427136880046,0.870426855117331,0.870423415538034,0.870425929500206,0.870426899781299,0.855752655861939,0.86563345279171,0.831077852294449
"Affiliates_LTA",1,0.237100894649251,0.177948348038957,0.237101241916575,0.237102095349769,0.346953231903994,0.346951957815717,0.237101264894691,0.177948048118725,0.1779456326461,0.177946791756322,0.17794687487759,0.177947084869123,0.177948004403026,0.177947574272963,0.237099900438021,0.237101328672508,0.23710149727133,0.237101459856388,0.17794754878615,0.159272892898692,0.159272132136198
"Partners_LTA",1,0.739349108844643,0.739348249899931,0.739347820263986,0.739348169024976,0.739346675932723,0.73934820585681,0.739347776463838,0.739348276390078,0.739348267233068,0.739347891863814,0.739348402981737,0.739348182562155,0.739348213956164,0.739348203070846,0.739348444372665,0.739347851272692,0.739347798003613,0.739348130646961,0.739348477211795,0.6094220201489,0.739343918885749
"SEM_MTA",1,0.432288536190277,0.432287368309623,0.125985149554645,0.125982295276048,0.125985206246768,0.266991885048261,0.125985046800008,0.125984641111412,0.12598468718903,0.111925673142393,0.111925581517474,0.125984241206038,0.125985148571041,0.125984734364469,0.125984062273662,0.125983985818299,0.125984505322849,0.125981750582241,0.125985059730409,0.125984468931606,0.12598476115827
"Display_MTA",1,0.198805140766148,0.198805977189266,0.198806832419219,0.198806355482918,0.198806092277965,0.198806046015678,0.198806252491188,0.198806362821453,0.111990844988191,0.198805698896503,0.195281218724524,0.195281438031831,0.195281256041984,0.195280548258942,0.178437328204684,0.178436688862564,0.178436698738599,0.178440251384376,0.19527847809244,0.178438656771142,0.185229466545163
"FB_MTA",1,0.0317487270181382,0.774537723190194,0.911894556774194,0.911894205803503,0.911893947910295,0.911893905054177,0.911894172273905,0.911893926735267,0.911894606947365,0.774538639928432,0.774537424918555,0.774537924093251,0.774538110429081,0.774537441547852,0.774537756789624,0.774537474183046,0.77453680829232,0.774536742754767,0.77453604951766,0.774536733076582,0.77453696531462
"Affiliates_MTA",1,0.116615375706943,0.11661647479792,0.11661536464579,0.116615761614631,0.116617104123237,0.116616451769896,0.115570968741792,-0.00989269279739242,-0.00989596900279921,-0.00989526104768876,-0.00989584110378746,-0.0098955112279185,-0.00989519678790471,-0.00989527586570477,-0.00989547302065753,-0.00989532089641378,0.0341915275550131,0.116613218241908,0.0629602345429256,0.0257113885983984,-0.009895658635128
"Partners_MTA",1,0.925271814319594,0.808654152968901,0.808654089789934,0.808653593016856,0.808653490454894,0.808653995935583,0.8086538011339,0.808654483409393,0.808653879384835,0.808653984170512,0.808653894487767,0.808654680456778,0.808654092992955,0.808653819586906,0.808653352027319,0.808653343723621,0.808653886749758,0.808653573447618,0.808653347755491,0.808653018076884,0.808653463765548
"SEM_LTA",2,0.642707625895527,0.642707980794965,0.64270786688752,0.642705517691174,0.642707759052279,0.642707503627787,0.631994085014133,0.631993299146263,0.631993566949348,0.631993415048945,0.484699244889572,0.484698632935906,0.484699520779187,0.484698526126636,0.484698819817432,0.484697816760936,0.484697906835883,0.484698317849456,0.484698146716784,0.484698498021006,0.484698464230857
"Display_LTA",2,0.360524224866508,0.360522035208439,0.360522312383739,0.360522234500143,0.360521537022976,0.245913355204527,0.175095092617085,0.142044136758674,0.122755250137083,0.360522427609793,0.329365293861888,0.360521945509732,0.360522518844096,0.360521995644434,0.360521035192327,0.360516167462286,0.32936408365706,0.329363747259031,0.329363802437895,0.32936420835166,0.32936387996075
"FB_LTA",2,0.0000000880151200961955,0.000000447725811893693,0.413700154678824,0.614588317872373,0.581571028434668,0.568545319738931,0.564800663861068,0.574372142515611,0.589880742336268,1.14510366547285,0.655934870718756,0.920483370300477,0.920483031131293,0.920483108891293,0.655934871485799,0.742891858719723,0.742891558096616,0.742891718492419,0.742891350765078,0.742891783253574,0.742891969046421
"Affiliates_LTA",2,0.279102914897917,0.279103178864654,0.279102770469715,0.279103584945626,0.466213709776119,0.346182095267418,0.279106337960461,0.279102996707153,0.0863336528933677,0.0547016663691788,0.0547015789574006,0.0547015359409816,0.0547017735341482,0.0935743866734571,0.279102627501969,0.279098919697402,0.131922615788266,0.279102105812506,0.255671624530889,0.255672101097629,0.0957991660349996
"Partners_LTA",2,0.851700471473158,0.851697636885878,0.851318808178781,0.851697059554314,0.780384803247247,0.589869830398403,0.683613487661642,0.683613334816157,0.683613586479565,0.683614060032838,0.683613610174627,0.683611464524716,0.683613477548855,0.683613549753434,0.683613365315778,0.683613982814679,0.683613587393629,0.683613235752727,0.683612763838063,0.683613060768272,0.683609217149595
"SEM_MTA",2,0.518312592945517,0.5183128074251,0.518313065601468,0.518313362648734,0.495320428227375,0.495320030328413,0.495319988503588,0.495320089992709,0.495319704515346,0.495319276406773,0.495319075704112,0.495319545441025,0.495319934472021,0.495319956011251,0.495320080617144,0.495319813148152,0.495319630514777,0.49531940915049,0.495318216053599,0.495319693149593,0.495319685528089
"Display_MTA",2,0.343399549134146,0.343399286232815,0.343399127318192,0.343399071152576,0.343398433671423,0.240265289974223,0.310525615834569,0.277474256977801,0.196530731319992,0.186348332550264,0.186349144357895,0.186348736957529,0.196532194337539,0.196531724684904,0.186348324479053,0.186348412878917,0.186348265041409,0.18634807966501,0.186348329928969,0.186348686110111,0.186348227734254
"FB_MTA",2,0.000000197495862895393,0.000000495889294511524,0.361313882710302,0.565116007407442,0.530706470561484,0.515571222565916,0.511138814358069,0.520930507911919,0.53817967842673,1.10065582196403,0.594522578544372,0.798054419065276,0.798054130453196,0.798054281956781,0.594522023959878,0.763129135196844,0.763129043352392,0.763129317092368,0.763129238245815,0.763128570568762,0.763128715457763
"Affiliates_MTA",2,0.254847229197786,0.254847227700865,0.254846593848385,0.232756436772079,0.25484670696825,0.254846738245107,0.254846643663614,0.0945022347784594,0.094502091528438,0.0945004117398828,0.0887507157297438,0.0944983457984374,0.0945016646903655,0.0945018014467476,0.094501993490796,0.0945022607513267,0.0945020473011539,0.0945022724257739,0.145910115883038,0.251090815329723,0.0945027674737783
"Partners_MTA",2,1.05768569997284,1.05768441731592,1.05768351315202,1.057685081507,0.918238184599843,0.518879307991252,0.518878181557153,0.518878463105321,0.518878553491326,0.518878671820564,0.518878453515448,0.518878883866421,0.518878386212938,0.518879787375629,0.518879661463892,0.531831264994794,0.518879156423464,0.518878715301859,0.531830836150991,0.518878542596869,0.518879224136639
"SEM_LTA",3,0.281501425584593,0.281501361709201,0.281501853495874,0.281501731815018,0.281505390288942,0.281502699746397,0.281502411222275,0.28150155662234,0.28150118981239,0.281501433049789,0.28150109898935,0.28150112486124,0.264354572869967,0.219050414072288,0.281499897662281,0.219051702503604,0.219051173919147,0.2190501971688,0.219049723082388,0.219050887023727,0.281500925342684
"Display_LTA",3,0.72835047909556,0.728350250885191,0.363600083110473,0.363600384852633,0.36359798840319,-0.0364007874133414,-0.0364016546188546,-0.0364013487823051,-0.0364020089778204,-0.0364002819303774,0.195563284250131,0.195561340568771,0.125480383514282,0.195562432768188,0.195562555212857,0.125480338168649,0.125483135473885,0.125480570465721,0.125479910937081,0.125480333994958,0.125480401560092
"FB_LTA",3,0.000000358330354389465,0.000000142105073328745,0.000000143529046020704,0.163558824169657,0.339468791015798,0.404902592291754,0.403583014678775,0.403084352165812,0.402448854776842,0.764363609585097,0.764362044286399,0.678481178617358,0.726349684554898,0.726349637368978,0.726349900676418,0.726349686541652,0.726349194311884,0.726349723102425,0.726349516204711,0.726349843881894,0.726350110802239
"Affiliates_LTA",3,0.404434197924339,0.440715423916493,0.440716224219482,0.440716153824552,0.440716075561801,0.440716703685034,0.440716127782693,0.404435048557119,0.26446089326033,0.264459909995365,0.264459896658334,0.264459803151221,0.264460083201047,0.388476439762936,0.388478186904744,0.38848045877496,0.388478032137232,0.38847870163939,0.401483688883189,0.404432348066298,0.404433381630299
"Partners_LTA",3,1.05361429091229,1.05361431446396,0.342956261260238,-0.0142073101142774,-0.0142074300187422,0.0784088750131111,0.480818862296932,0.480821065888137,0.717049048084951,1.0536134947118,1.05361379345725,1.05361432105599,1.05361411329417,1.05361360864248,1.05361412595621,1.05361520890888,1.1244436101404,1.12444392432246,1.12444399900247,1.12444292582174,1.1244440543484
"SEM_MTA",3,0.421003813640918,0.421003795600331,0.42100368659046,0.421003937729577,0.421003388116271,0.421004121765827,0.421003815970801,0.153812103217842,0.153811067010553,0.153811598550667,0.153438322794116,0.153438170765267,0.153436608284392,0.0665372590065439,0.15343706627461,0.153436274158419,0.153436733963171,0.0665376082632734,0.0665373322856133,0.0665422891237949,0.153436832343908
"Display_MTA",3,0.581104670734165,0.581104766023237,0.431760194224135,0.431764574203681,0.431759731138737,0.431759667183051,0.43175975293791,0.431759355515292,0.407923945622405,0.00769562310709694,0.234405574143352,0.203761941976958,0.234404019228144,0.203757864384708,0.203758183951584,0.203757822440195,0.203757668991786,0.203757448311998,0.203757180060022,0.203757488973081,0.203757515619495
"FB_MTA",3,0.000000586314099725672,0.0000000628768755139907,0.000000362906648489424,0.11012890902119,0.295798417098581,0.362443555400191,0.364024458722703,0.363435911473122,0.362700281398902,0.702809660355938,0.702809696806479,0.567225519737396,0.69290851551715,0.692908545511286,0.692907957212138,0.692908296374513,0.559797922552532,0.692908080241326,0.692908159026155,0.692908872883839,0.692908080673788
"Affiliates_MTA",3,0.433289294747706,0.492943084953015,0.49294191346633,0.49294266129784,0.43328857374445,0.216503251304818,0.20078907407864,-0.0510115024133944,-0.354047123329761,-0.377908598664368,-0.354049392757106,-0.354047432958408,-0.354046797495201,-0.322118280225063,-0.0731284983666441,0.0796888036551704,0.0821774423064953,0.0821767935804016,0.098300673200566,0.200789170609895,0.200789535216637
"Partners_MTA",3,1.28565736695415,1.28565803600907,0.878611107186096,0.272795766858366,0.272795215211656,0.272796308503987,0.272795325893054,0.272796674165716,0.490833365302914,0.490837320156219,0.490837039525519,0.490837665913883,0.490837547332572,0.490837845048221,0.49083750258507,0.490838092750545,0.490837085395164,0.490835099884826,0.490836591914904,0.490836979115039,0.490837518893611
